County,Budget_Category,year
Baringo,County Assembly,2016
Baringo,Governor/County Executive services,2016
Baringo,County Treasury Services,2016
Baringo,Transport and Infrastructure,2016
Baringo,"Industrialization, Commerce and Tourism",2016
Baringo,"Education, Sports, Culture & Art",2016
Baringo,Health,2016
Baringo,Housing & Urban Development,2016
Baringo,"Agriculture, Livestock, Fisheries & Marketing",2016
Baringo,"Youth, Gender & Social Security Services",2016
Baringo,Water & Irrigation,2016
Baringo,Environment & Natural Resources,2016
Bomet,County Executives,2016
Bomet,Public Service Board,2016
Bomet,Administration,2016
Bomet,Finance,2016
Bomet,"Land,Public & Environment",2016
Bomet,"Agri-Business, Coopertives & Marketing",2016
Bomet,Social Services,2016
Bomet,Medical Services,2016
Bomet,Economic Planning & Development,2016
Bomet,Water Services,2016
Bomet,Education & Vocational Trainings,2016
Bomet,Roads And Public Works,2016
Bomet,"Ict,Training And Industry",2016
Bomet,County Assembly,2016
Bungoma,Administration,2016
Bungoma,Finance and Economic Planning,2016
Bungoma,"Lands, Urban and Physical Planning",2016
Bungoma,Agriculture,2016
Bungoma,"Trade, Energy and Industrialization",2016
Bungoma,Roads and Public Works,2016
Bungoma,Tourism and Natural resources,2016
Bungoma,Water,2016
Bungoma,Education,2016
Bungoma,Governors’ office,2016
Bungoma,Deputy Governor’s Office,2016
Bungoma,County Secretary,2016
Bungoma,Sub County Administration,2016
Bungoma,Health,2016
Bungoma,CPSB,2016
Bungoma,Assembly,2016
BUSIA,Agriculture and Animal Resources,2016
BUSIA,"Economic Planning, Trade, Co-operative and Industrialization",2016
BUSIA,Education and Vocational Training,2016
BUSIA,Finance and ICT,2016
BUSIA,"Community, Culture, Sports & Social Services",2016
BUSIA,"Public Works, Roads, Transport and Energy",2016
BUSIA,Public Service Management,2016
BUSIA,"Lands, Housing & Urban development",2016
BUSIA,"Water, Environment & natural resources",2016
BUSIA,Health and Sanitation,2016
BUSIA,County Public Service Board,2016
BUSIA,Office of the County Secretary,2016
BUSIA,Office of the Governor,2016
BUSIA,Office of the Deputy Governor,2016
BUSIA,County Assembly,2016
Elgeyo Marakwet,Office of the Governor,2016
Elgeyo Marakwet,Administration,2016
Elgeyo Marakwet,County Assembly,2016
Elgeyo Marakwet,Finance and Economic Planning,2016
Elgeyo Marakwet,"Roads, Public Works and Transport",2016
Elgeyo Marakwet,Education and Technical Training,2016
Elgeyo Marakwet,"Youth Affairs, Culture, Children and Gender",2016
Elgeyo Marakwet,Health Services,2016
Elgeyo Marakwet,"Water, Lands, Housing and Physical Planning",2016
Elgeyo Marakwet,"Trade, Tourism, Cooperatives and Wildlife",2016
Elgeyo Marakwet,"Agriculture, Livestock and Fisheries",2016
Elgeyo Marakwet,County Public Service Board (CPSB),2016
Elgeyo Marakwet,ICT and Public Service,2016
Embu,Office of the Governor,2016
Embu,Public Service & Administration,2016
Embu,County Public service Board,2016
Embu,Finance and Economic Planning,2016
Embu,Health Services,2016
Embu,Embu Level 5 Hospital,2016
Embu,"Trade, Investment & Industrialization",2016
Embu,"Education, Science & Technology",2016
Embu,Youth Empowerment & Sports,2016
Embu,Infrastructure & Public Works,2016
Embu,Gender Empowerment & Culture,2016
Embu,"Lands, Water & Natural Resources",2016
Embu,"Agriculture, Livestock & Fisheries",2016
Embu,County Assembly,2016
Garissa,"Transport ,Infrastructure and Lands",2016
Garissa,Water Services,2016
Garissa,Finance and Economic Planning,2016
Garissa,Health and Sanitation,2016
Garissa,Education,2016
Garissa,"Trade, cooperative and Youth",2016
Garissa,"Environment, Energy and Natural Resources",2016
Garissa,Urban Services,2016
Garissa,Agriculture,2016
Garissa,Livestock and Pastoral Economy,2016
Garissa,Women Affairs and Culture,2016
Garissa,Executive Services,2016
Garissa,County Assembly,2016
Homa Bay,"Agriculture, Livestock and Fisheries",2016
Homa Bay,Tourism and culture,2016
Homa Bay,Transport and Infrastructure,2016
Homa Bay,Energy and Natural Resources,2016
Homa Bay,Education and ICT,2016
Homa Bay,Health,2016
Homa Bay,"Lands, Housing and Physical Planning",2016
Homa Bay,"Trade, Industry and Investment",2016
Homa Bay,Water and Environment,2016
Homa Bay,Finance and Economic Planning,2016
Homa Bay,Off ice of the Governor,2016
Homa Bay,County Public Service Board,2016
Homa Bay,County Assembly Service Board,2016
Isiolo,County Assembly,2016
Isiolo,Office of the Governor,2016
Isiolo,County Public Service Board,2016
Isiolo,Office of the County Secretary,2016
Isiolo,County treasury and Planning,2016
Isiolo,"Roads, Housing and Works",2016
Isiolo,Lands Development,2016
Isiolo,Agriculture,2016
Isiolo,Livestock and Fisheries,2016
Isiolo,Cohesion and Intergovernmental relations,2016
Isiolo,Education and Vocational training,2016
Isiolo,"Sports, Youth and Culture",2016
Isiolo,"Tourism, Culture and Social Services",2016
Isiolo,Public Service Management and ICT,2016
Isiolo,Water and Irrigation,2016
Isiolo,Environment and Natural Resources,2016
Kajiado,Office of the Governor and the Deputy Governor,2016
Kajiado,Finance and Economic Planning,2016
Kajiado,"Lands, Physical Planning, Environment, Wildlife and Natural Resources",2016
Kajiado,County Public Service Board,2016
Kajiado,"Agriculture, Livestock and Fisheries",2016
Kajiado,Industrialization and Enterprise Development,2016
Kajiado,"Public Works, Roads, Transport, and Housing",2016
Kajiado,Water and Irrigation,2016
Kajiado,"Education, Youth, Sports, and Social Services",2016
Kajiado,Ict and Gender,2016
Kajiado,Health Services,2016
Kajiado,County Public Service,2016
Kajiado,County Assembly,2016
Kakamega,Office of the Governor,2016
Kakamega,Public Service and Administration,2016
Kakamega,County Treasury,2016
Kakamega,"Environment, Natural Resource, Water and Forestry",2016
Kakamega,"Labour, Social Services, Youth & Sports",2016
Kakamega,"Transport, Infrastructure & Public Works",2016
Kakamega,"Lands, Housing, Urban Areas & Physical planning",2016
Kakamega,Health Services,2016
Kakamega,"Agriculture, Livestock, Fisheries & Co-operatives",2016
Kakamega,"Industrialization, Trade & Tourism",2016
Kakamega,"Education, Science & Technology",2016
Kakamega,County Public Service Board,2016
Kakamega,County Assembly,2016
Kericho,County Assembly Services,2016
Kericho,Public Service and Administration,2016
Kericho,Office of the Governor & Deputy Governor,2016
Kericho,County Public Service Board,2016
Kericho,Finance & Economic Planning,2016
Kericho,"Agriculture, Livestock &Fisheries",2016
Kericho,"Environment,Water,Energy & Natural Resources",2016
Kericho,"Education ,Youth, Culture & Social services",2016
Kericho,Health Services,2016
Kericho,"Land, Housing & Physical Planning",2016
Kericho,"Public Works, Roads & Transport",2016
Kericho,ICT & E-Government,2016
Kericho,"Trade, Industrialization, Tourism, Wildlife & Cooperative Development",2016
Kiambu,County Assembly,2016
Kiambu,County Executive,2016
Kiambu,County Public Service Board,2016
Kiambu,Finance and Economic Planning,2016
Kiambu,Administrative & Public Service,2016
Kiambu,"Agriculture, Livestock & Fisheries",2016
Kiambu,"Water, Environment & Natural Resources",2016
Kiambu,Health Services,2016
Kiambu,"Education, Culture, ICT & Social Services",2016
Kiambu,"Youth, Sports & Communications",2016
Kiambu,"Lands, Physical Planning & Housing",2016
Kiambu,"Trade, Tourism, Industry & Cooperative",2016
Kiambu,"Roads, Transport & Public Works",2016
Kilifi,County Assembly,2016
Kilifi,County Executive,2016
Kilifi,Finance & Economic Planning,2016
Kilifi,Agriculture,2016
Kilifi,Environment and Natural Resources,2016
Kilifi,Education & Youth Affairs,2016
Kilifi,County Health Services,2016
Kilifi,Physical Planning and Development,2016
Kilifi,Public works and services,2016
Kilifi,ICT & E-government,2016
Kilifi,Trade development and regulation,2016
Kilifi,County public service board,2016
Kilifi,Public service management,2016
Kirinyaga,County Assembly,2016
Kirinyaga,County Executive Services,2016
Kirinyaga,Finance and Economic planning,2016
Kirinyaga,Medical Services,2016
Kirinyaga,Education,2016
Kirinyaga,Agriculture,2016
Kirinyaga,Gender/Culture &Social Services,2016
Kirinyaga,Trade & Co-operative Development,2016
Kirinyaga,Environment and natural resources,2016
Kirinyaga,Physical Planning and Housing,2016
Kirinyaga,Transport and Infrastructure,2016
Kisii,County Assembly,2016
Kisii,County Executive,2016
Kisii,Finance and Economic Planning,2016
Kisii,Agriculture,2016
Kisii,Environment & Natural Resources,2016
Kisii,"Education, Youth Affairs & Social Development",2016
Kisii,County Health Services,2016
Kisii,Physical planning & urban development,2016
Kisii,"Roads, Public works and transport",2016
Kisii,Trade development & regulations,2016
Kisii,Culture and Social services regulations,2016
Kisii,Kisii Town Urban Area,2016
Kisii,County Administration,2016
Kisumu,Office of the Governor and County Administration,2016
Kisumu,Finance and Economic Planning,2016
Kisumu,"Agriculture, Livestock and Fisheries",2016
Kisumu,"Education, Youth, Culture and Social Services",2016
Kisumu,"Tourism, Trade and Heritage",2016
Kisumu,"Lands, Housing and Physical Planning",2016
Kisumu,"Roads, Transport and Public Works",2016
Kisumu,Health Services,2016
Kisumu,"Water, Environment & Natural Resources",2016
Kisumu,"Industrialization, Enterprise Development, Energy and Mining",2016
Kisumu,"Communication, Information and Technology",2016
Kisumu,County Assembly,2016
Kisumu,City of Kisumu,2016
Kisumu,County Public Service Board,2016
Kitui,Office of the Governor,2016
Kitui,Administration & Coordination of County Affairs,2016
Kitui,"Agriculture, Water & Irrigation",2016
Kitui,"Basic Education, Training, & Skills Development",2016
Kitui,"Lands, Infrastructure & Urban Development",2016
Kitui,Health & Sanitation,2016
Kitui,"Trade, Industry, ICT & Cooperatives",2016
Kitui,"Culture, Youth, Sports & Social Services",2016
Kitui,"Environment, Energy & Minerals Investment Development",2016
Kitui,Tourism and Natural Resources,2016
Kitui,Finance & Economic Planning,2016
Kitui,County Public Service Board,2016
Kitui,County Assembly,2016
Kitui,Kitui Town Administration,2016
Kitui,Mwingi Town Administration,2016
Kwale,County Executive Services,2016
Kwale,Public Service and Administration,2016
Kwale,Finance and Economic Planning,2016
Kwale,"Agriculture, Livestock and Fisheries",2016
Kwale,"Education, Research & Human Resource Development",2016
Kwale,Medical and Health Services,2016
Kwale,Trade and Cooperative Development,2016
Kwale,"Community Development, Culture & Talent Management",2016
Kwale,Infrastructure and Public Works,2016
Kwale,"Tourism, Investment and ICT",2016
Kwale,"Land, Physical Planning and Natural Resources",2016
Kwale,Water Services,2016
Kwale,County Assembly,2016
Laikipia,County Admin.,2016
Laikipia,Finance and Planning,2016
Laikipia,Health,2016
Laikipia,Agriculture,2016
Laikipia,Infrastructure,2016
Laikipia,Education,2016
Laikipia,Trade & Industrialization,2016
Laikipia,Water,2016
Laikipia,County Assembly,2016
