DHSREGEN,REG_ID,REGNAME,OTHREGNA,Region
Baringo,KEDHS2014416058,baringo,rift valley,Rift Valley
Bomet,KEDHS2014416064,bomet,rift valley,Rift Valley
Bungoma,KEDHS2014416073,bungoma,western,Western
Busia,KEDHS2014416074,busia,western,Western
Elgeyo Marakwet,KEDHS2014416056,elgeyo marakwet,rift valley,Rift Valley
Embu,KEDHS2014416035,embu,eastern,Eastern
Garissa,KEDHS2014416021,garissa,north eastern,North Eastern
Homa Bay,KEDHS2014416083,homa bay,nyanza,Nyanza
Isiolo,KEDHS2014416032,isiolo,eastern,Eastern
Kajiado,KEDHS2014416062,kajiado,rift valley,Rift Valley
Kakamega,KEDHS2014416071,kakamega,western,Western
Kericho,KEDHS2014416063,kericho,rift valley,Rift Valley
Kiambu,KEDHS2014416045,kiambu,central,Central
Kilifi,KEDHS2014416013,kilifi,coast,Coast
Kirinyaga,KEDHS2014416043,kirinyaga,central,Central
Kisii,KEDHS2014416085,kisii,nyanza,Nyanza
Kisumu,KEDHS2014416082,kisumu,nyanza,Nyanza
Kitui,KEDHS2014416036,kitui,eastern,Eastern
Kwale,KEDHS2014416012,kwale,coast,Coast
Laikipia,KEDHS2014416059,laikipia,rift valley,Rift Valley
Lamu,KEDHS2014416015,lamu,coast,Coast
Machakos,KEDHS2014416037,machakos,eastern,Eastern
Makueni,KEDHS2014416038,makueni,eastern,Eastern
Mandera,KEDHS2014416023,mandera,north eastern,North Eastern
Marsabit,KEDHS2014416031,marsabit,eastern,Eastern
Meru,KEDHS2014416033,meru,eastern,Eastern
Migori,KEDHS2014416084,migori,nyanza,Nyanza
Mombasa,KEDHS2014416011,mombasa,coast,Coast
Murang'a,KEDHS2014416044,murang'a,central,Central
Nairobi,KEDHS2014416001,nairobi,nairobi,Nairobi
Nakuru,KEDHS2014416060,nakuru,rift valley,Rift Valley
Nandi,KEDHS2014416057,nandi,rift valley,Rift Valley
Narok,KEDHS2014416061,narok,rift valley,Rift Valley
Nyamira,KEDHS2014416086,nyamira,nyanza,Nyanza
Nyandarua,KEDHS2014416041,nyandarua,central,Central
Nyeri,KEDHS2014416042,nyeri,central,Central
Samburu,KEDHS2014416053,samburu,rift valley,Rift Valley
Siaya,KEDHS2014416081,siaya,nyanza,Nyanza
Taita Taveta,KEDHS2014416016,taita taveta,coast,Coast
Tana River,KEDHS2014416014,tana river,coast,Coast
Tharaka-Nithi,KEDHS2014416034,tharaka-nithi,eastern,Eastern
Trans-Nzoia,KEDHS2014416054,trans-nzoia,rift valley,Rift Valley
Turkana,KEDHS2014416051,turkana,rift valley,Rift Valley
Uasin Gishu,KEDHS2014416055,uasin gishu,rift valley,Rift Valley
Vihiga,KEDHS2014416072,vihiga,western,Western
Wajir,KEDHS2014416022,wajir,north eastern,North Eastern
West Pokot,KEDHS2014416052,west pokot,rift valley,Rift Valley
